cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Name_ru,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Name_ru,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,duplicated
Запоріжжя,"вул. Руставі, 1г","Запоріжжя, вул. Руставі, 1г",08:30 - 18:30,0,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Сергієнка Василя, 9","Запоріжжя, вул. Сергієнка Василя, 9",зачинено,0,False,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Ситова, 4","Запоріжжя, вул. Ситова, 4",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"просп. Соборний, 147","Запоріжжя, просп. Соборний, 147",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Фортечна, 6","Запоріжжя, вул. Фортечна, 6",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"шосе Хортицьке, 30а","Запоріжжя, шосе Хортицьке, 30а",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Чарівна, 155б","Запоріжжя, вул. Чарівна, 155б",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Запоріжжя,"вул. Чарівна, 74","Запоріжжя, вул. Чарівна, 74",08:30 - 18:30,6000,True,,,,,,,,,,,,,,,,,True
Івано-Франківськ,"вул. Дністровська, 3","Івано-Франківськ, вул. Дністровська, 3",09:00 - 20:00,6000,True,Ivano-Frankivsk,Івано-Франківськ,Ивано-Франковск,UA2604019001,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA2604019,Ivano-Frankivskyi,Івано-Франківський,Ивано-Франковский,UA2604,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,False
Івано-Франківськ,"вул. Мазепи, 168а","Івано-Франківськ, вул. Мазепи, 168а",08:30 - 20:00,6000,True,Ivano-Frankivsk,Івано-Франківськ,Ивано-Франковск,UA2604019001,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA2604019,Ivano-Frankivskyi,Івано-Франківський,Ивано-Франковский,UA2604,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,False
Івано-Франківськ,"бул. Північний ім. Пушкіна, 2а","Івано-Франківськ, бул. Північний ім. Пушкіна, 2а",зачинено,0,False,Ivano-Frankivsk,Івано-Франківськ,Ивано-Франковск,UA2604019001,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA2604019,Ivano-Frankivskyi,Івано-Франківський,Ивано-Франковский,UA2604,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,False
Калуш,"майд. Шептицького, 7","Калуш, майд. Шептицького, 7",зачинено,0,False,Kalush,Калуш,Калуш,UA2606017001,Kaluska,Калуська,Калушская,UA2606017,Kaluskyi,Калуський,Калушский,UA2606,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,False
Кам'янець-Подільський,"вул. Гагаріна, 42/1","Кам’янець-Подільський, вул. Гагаріна, 42/1",08:00 - 20:00,6000,True,Kamianets-Podilskyi,Кам'янець-Подільський,Каменец-Подольский,UA6802011001,Kamianets-Podilska,Кам'янець-Подільська,Каменец-Подольская,UA6802011,Kamianets-Podilskyi,Кам'янець-Подільський,Каменец-Подольский,UA6802,Khmelnytska,Хмельницька,Хмельницкая,UA68,False
Кам'янець-Подільський,"шосе Нігинське, 41/1","Кам’янець-Подільський, шосе Нігинське, 41/1",08:00 - 20:00,6000,True,Kamianets-Podilskyi,Кам'янець-Подільський,Каменец-Подольский,UA6802011001,Kamianets-Podilska,Кам'янець-Подільська,Каменец-Подольская,UA6802011,Kamianets-Podilskyi,Кам'янець-Подільський,Каменец-Подольский,UA6802,Khmelnytska,Хмельницька,Хмельницкая,UA68,False
Кам'янець-Подільський,"вул. Українки Лесі, 30","Кам’янець-Подільський, вул. Українки Лесі, 30",08:00 - 20:00,6000,True,Kamianets-Podilskyi,Кам'янець-Подільський,Каменец-Подольский,UA6802011001,Kamianets-Podilska,Кам'янець-Подільська,Каменец-Подольская,UA6802011,Kamianets-Podilskyi,Кам'янець-Подільський,Каменец-Подольский,UA6802,Khmelnytska,Хмельницька,Хмельницкая,UA68,False
Кам'янське,"просп. Шевченка, 9","Кам’янське, просп. Шевченка, 9",08:00 - 18:00,6000,True,,,,,,,,,,,,,,,,,True
Канів,"вул. Енергетиків, 12А","Канів, вул. Енергетиків, 12А",зачинено,0,False,Kaniv,Канів,Канев,UA7108015001,Kanivska,Канівська,Каневская,UA7108015,Cherkaskyi,Черкаський,Черкасский,UA7108,Cherkaska,Черкаська,Черкасская,UA71,False
